,Source,Sink,Time,Value
518,WCMA,CT,15,2956.495402692271
519,WCMA,CT,16,0.0
520,WCMA,CT,17,0.0
521,WCMA,CT,18,0.0
522,WCMA,CT,19,0.0
523,WCMA,CT,20,0.0
524,WCMA,CT,21,0.0
525,WCMA,CT,22,0.0
526,WCMA,CT,23,0.0
527,WCMA,CT,24,0.0
528,WCMA,NEMA,1,5484.233471532647
529,WCMA,NEMA,2,3158.832731272743
530,WCMA,NEMA,3,0.0
531,WCMA,NEMA,4,0.0
532,WCMA,NEMA,5,0.0
533,WCMA,NEMA,6,0.0
534,WCMA,NEMA,7,5357.609661077479
535,WCMA,NEMA,8,3178.7358270155078
536,WCMA,NEMA,9,3331.537279748165
537,WCMA,NEMA,10,5664.723053768311
538,WCMA,NEMA,11,5500.558990315204
539,WCMA,NEMA,12,4985.619636604755
540,WCMA,NEMA,13,0.0
541,WCMA,NEMA,14,0.0
542,WCMA,NEMA,15,0.0
543,WCMA,NEMA,16,5698.773837809646
544,WCMA,NEMA,17,4879.379267766333
545,WCMA,NEMA,18,4963.324735948327
546,WCMA,NEMA,19,4602.959261847036
547,WCMA,NEMA,20,5206.6375083826115
548,WCMA,NEMA,21,4921.727180635251
549,WCMA,NEMA,22,0.0
550,WCMA,NEMA,23,0.0
551,WCMA,NEMA,24,0.0
552,WCMA,ME,1,0.0
553,WCMA,ME,2,0.0
554,WCMA,ME,3,0.0
555,WCMA,ME,4,0.0
556,WCMA,ME,5,0.0
557,WCMA,ME,6,0.0
558,WCMA,ME,7,0.0
559,WCMA,ME,8,0.0
560,WCMA,ME,9,0.0
561,WCMA,ME,10,0.0
562,WCMA,ME,11,0.0
563,WCMA,ME,12,0.0
564,WCMA,ME,13,0.0
565,WCMA,ME,14,0.0
566,WCMA,ME,15,0.0
567,WCMA,ME,16,0.0
568,WCMA,ME,17,0.0
569,WCMA,ME,18,0.0
570,WCMA,ME,19,0.0
571,WCMA,ME,20,0.0
572,WCMA,ME,21,0.0
573,WCMA,ME,22,0.0
574,WCMA,ME,23,0.0
575,WCMA,ME,24,0.0
576,RI,SEMA,1,0.0
577,RI,SEMA,2,0.0
578,RI,SEMA,3,0.0
579,RI,SEMA,4,0.0
580,RI,SEMA,5,0.0
581,RI,SEMA,6,0.0
582,RI,SEMA,7,0.0
583,RI,SEMA,8,0.0
584,RI,SEMA,9,0.0
585,RI,SEMA,10,0.0
586,RI,SEMA,11,0.0
587,RI,SEMA,12,0.0
588,RI,SEMA,13,0.0
589,RI,SEMA,14,0.0
590,RI,SEMA,15,1301.468117624056
591,RI,SEMA,16,0.0
592,RI,SEMA,17,0.0
