,Source,Sink,Time,Value
367,NH,SEMA,8,0.0
368,NH,SEMA,9,0.0
369,NH,SEMA,10,0.0
370,NH,SEMA,11,0.0
371,NH,SEMA,12,0.0
372,NH,SEMA,13,0.0
373,NH,SEMA,14,0.0
374,NH,SEMA,15,0.0
375,NH,SEMA,16,0.0
376,NH,SEMA,17,0.0
377,NH,SEMA,18,0.0
378,NH,SEMA,19,0.0
379,NH,SEMA,20,0.0
380,NH,SEMA,21,0.0
381,NH,SEMA,22,0.0
382,NH,SEMA,23,0.0
383,NH,SEMA,24,0.0
384,NEMA,WCMA,1,0.0
385,NEMA,WCMA,2,0.0
386,NEMA,WCMA,3,0.0
387,NEMA,WCMA,4,6658.3105000000005
388,NEMA,WCMA,5,0.0
389,NEMA,WCMA,6,6619.510500000002
390,NEMA,WCMA,7,6697.0546
391,NEMA,WCMA,8,0.0
392,NEMA,WCMA,9,0.0
393,NEMA,WCMA,10,5605.569600000002
394,NEMA,WCMA,11,6367.030500000001
395,NEMA,WCMA,12,6214.198063440001
396,NEMA,WCMA,13,5662.830500000002
397,NEMA,WCMA,14,6316.530500000001
398,NEMA,WCMA,15,5634.4304999999995
399,NEMA,WCMA,16,6261.874510000002
400,NEMA,WCMA,17,6348.630500000001
401,NEMA,WCMA,18,6929.6513425600015
402,NEMA,WCMA,19,6554.030500000001
403,NEMA,WCMA,20,6642.9305
404,NEMA,WCMA,21,6454.230500000002
405,NEMA,WCMA,22,6657.9304999999995
406,NEMA,WCMA,23,6291.4305
407,NEMA,WCMA,24,0.0
408,NEMA,NH,1,0.0
409,NEMA,NH,2,0.0
410,NEMA,NH,3,0.0
411,NEMA,NH,4,0.0
412,NEMA,NH,5,0.0
413,NEMA,NH,6,0.0
414,NEMA,NH,7,0.0
415,NEMA,NH,8,4850.0
416,NEMA,NH,9,4850.0
417,NEMA,NH,10,0.0
418,NEMA,NH,11,0.0
419,NEMA,NH,12,0.0
420,NEMA,NH,13,0.0
421,NEMA,NH,14,0.0
422,NEMA,NH,15,0.0
423,NEMA,NH,16,0.0
424,NEMA,NH,17,0.0
425,NEMA,NH,18,0.0
426,NEMA,NH,19,0.0
427,NEMA,NH,20,0.0
428,NEMA,NH,21,0.0
429,NEMA,NH,22,0.0
430,NEMA,NH,23,0.0
431,NEMA,NH,24,0.0
432,NEMA,NEMA,1,0.0
433,NEMA,NEMA,2,0.0
434,NEMA,NEMA,3,0.0
435,NEMA,NEMA,4,0.0
436,NEMA,NEMA,5,0.0
437,NEMA,NEMA,6,0.0
438,NEMA,NEMA,7,0.0
439,NEMA,NEMA,8,0.0
440,NEMA,NEMA,9,0.0
441,NEMA,NEMA,10,0.0
442,NEMA,NEMA,11,0.0
443,NEMA,NEMA,12,0.0
444,NEMA,NEMA,13,0.0
445,NEMA,NEMA,14,0.0
446,NEMA,NEMA,15,0.0
447,NEMA,NEMA,16,0.0
448,NEMA,NEMA,17,0.0
449,NEMA,NEMA,18,0.0
450,NEMA,NEMA,19,0.0
451,NEMA,NEMA,20,0.0
452,NEMA,NEMA,21,0.0
453,NEMA,NEMA,22,0.0
454,NEMA,NEMA,23,0.0
455,NEMA,NEMA,24,0.0
456,NEMA,ME,1,0.0
457,NEMA,ME,2,0.0
458,NEMA,ME,3,0.0
459,NEMA,ME,4,0.0
460,NEMA,ME,5,0.0
461,NEMA,ME,6,0.0
462,NEMA,ME,7,0.0
463,NEMA,ME,8,0.0
464,NEMA,ME,9,0.0
465,NEMA,ME,10,0.0
466,NEMA,ME,11,0.0
467,NEMA,ME,12,0.0
468,NEMA,ME,13,0.0
469,NEMA,ME,14,0.0
470,NEMA,ME,15,0.0
471,NEMA,ME,16,0.0
472,NEMA,ME,17,0.0
473,NEMA,ME,18,0.0
474,NEMA,ME,19,0.0
475,NEMA,ME,20,0.0
476,NEMA,ME,21,0.0
477,NEMA,ME,22,0.0
478,NEMA,ME,23,0.0
479,NEMA,ME,24,0.0
480,NEMA,RI,1,0.0
481,NEMA,RI,2,1175.3360000000002
482,NEMA,RI,3,0.0
483,NEMA,RI,4,0.0
484,NEMA,RI,5,1026.0350999999996
485,NEMA,RI,6,0.0
486,NEMA,RI,7,0.0
487,NEMA,RI,8,0.0
488,NEMA,RI,9,0.0
489,NEMA,RI,10,0.0
490,NEMA,RI,11,0.0
491,NEMA,RI,12,0.0
492,NEMA,RI,13,0.0
493,NEMA,RI,14,0.0
494,NEMA,RI,15,0.0
495,NEMA,RI,16,0.0
496,NEMA,RI,17,0.0
497,NEMA,RI,18,0.0
498,NEMA,RI,19,0.0
