,Generator,Time,Value,Zones
425,DevonStation8,18,103.5,CT
426,DevonStation8,19,103.5,CT
427,DevonStation8,20,103.5,CT
428,DevonStation8,21,103.5,CT
429,DevonStation8,22,103.5,CT
430,DevonStation8,23,103.5,CT
431,DevonStation8,24,103.5,CT
432,UCONNCogenFacilitySTG1,1,0.0,CT
433,UCONNCogenFacilitySTG1,2,0.0,CT
434,UCONNCogenFacilitySTG1,3,0.0,CT
435,UCONNCogenFacilitySTG1,4,0.0,CT
436,UCONNCogenFacilitySTG1,5,0.0,CT
437,UCONNCogenFacilitySTG1,6,0.0,CT
438,UCONNCogenFacilitySTG1,7,0.0,CT
439,UCONNCogenFacilitySTG1,8,0.0,CT
440,UCONNCogenFacilitySTG1,9,0.0,CT
441,UCONNCogenFacilitySTG1,10,0.0,CT
442,UCONNCogenFacilitySTG1,11,0.0,CT
443,UCONNCogenFacilitySTG1,12,0.0,CT
444,UCONNCogenFacilitySTG1,13,0.0,CT
445,UCONNCogenFacilitySTG1,14,0.0,CT
446,UCONNCogenFacilitySTG1,15,0.0,CT
447,UCONNCogenFacilitySTG1,16,0.0,CT
448,UCONNCogenFacilitySTG1,17,0.0,CT
449,UCONNCogenFacilitySTG1,18,0.0,CT
450,UCONNCogenFacilitySTG1,19,0.0,CT
451,UCONNCogenFacilitySTG1,20,0.0,CT
452,UCONNCogenFacilitySTG1,21,0.0,CT
453,UCONNCogenFacilitySTG1,22,0.0,CT
454,UCONNCogenFacilitySTG1,23,0.0,CT
455,UCONNCogenFacilitySTG1,24,0.0,CT
456,BridgeStreet12BS1,1,2.6,CT
457,BridgeStreet12BS1,2,2.6,CT
458,BridgeStreet12BS1,3,2.6,CT
459,BridgeStreet12BS1,4,2.6,CT
460,BridgeStreet12BS1,5,2.6,CT
461,BridgeStreet12BS1,6,2.6,CT
462,BridgeStreet12BS1,7,2.6,CT
463,BridgeStreet12BS1,8,2.6,CT
464,BridgeStreet12BS1,9,2.6,CT
465,BridgeStreet12BS1,10,2.6,CT
466,BridgeStreet12BS1,11,2.6,CT
467,BridgeStreet12BS1,12,2.6,CT
468,BridgeStreet12BS1,13,2.6,CT
469,BridgeStreet12BS1,14,2.6,CT
470,BridgeStreet12BS1,15,2.6,CT
471,BridgeStreet12BS1,16,2.6,CT
472,BridgeStreet12BS1,17,2.6,CT
473,BridgeStreet12BS1,18,2.6,CT
474,BridgeStreet12BS1,19,2.6,CT
475,BridgeStreet12BS1,20,2.6,CT
476,BridgeStreet12BS1,21,2.6,CT
477,BridgeStreet12BS1,22,2.6,CT
478,BridgeStreet12BS1,23,2.6,CT
479,BridgeStreet12BS1,24,2.6,CT
480,HSCoCHP1,1,0.0,CT
481,HSCoCHP1,2,0.0,CT
482,HSCoCHP1,3,0.0,CT
483,HSCoCHP1,4,0.0,CT
484,HSCoCHP1,5,0.0,CT
485,HSCoCHP1,6,0.0,CT
486,HSCoCHP1,7,0.0,CT
487,HSCoCHP1,8,0.0,CT
488,HSCoCHP1,9,0.0,CT
489,HSCoCHP1,10,0.0,CT
490,HSCoCHP1,11,0.0,CT
491,HSCoCHP1,12,0.0,CT
492,HSCoCHP1,13,0.0,CT
493,HSCoCHP1,14,0.0,CT
494,HSCoCHP1,15,0.0,CT
495,HSCoCHP1,16,0.0,CT
496,HSCoCHP1,17,0.0,CT
497,HSCoCHP1,18,0.0,CT
498,HSCoCHP1,19,0.0,CT
499,HSCoCHP1,20,0.0,CT
500,HSCoCHP1,21,0.0,CT
501,HSCoCHP1,22,0.0,CT
502,HSCoCHP1,23,0.0,CT
503,HSCoCHP1,24,0.0,CT
504,FortHill1234FH2,1,2.6,CT
505,FortHill1234FH2,2,2.6,CT
506,FortHill1234FH2,3,2.6,CT
507,FortHill1234FH2,4,2.6,CT
508,FortHill1234FH2,5,2.6,CT
509,FortHill1234FH2,6,2.6,CT
510,FortHill1234FH2,7,2.6,CT
511,FortHill1234FH2,8,2.6,CT
512,FortHill1234FH2,9,2.6,CT
513,FortHill1234FH2,10,2.6,CT
